feature,hits,stability_pct,group
z_vl_dist_load_rms,17,100.0,EMG/kin
trainred_hhb_mean,17,100.0,NIRS
trainred_smo2_slope,17,100.0,NIRS
z_vl_prox_load_rms,17,100.0,EMG/kin
z_vl_prox_load_mav,17,100.0,EMG/kin
z_vl_prox_load_wl,17,100.0,EMG/kin
z_vl_prox_load_zcr,17,100.0,EMG/kin
z_vl_prox_load_mdf,17,100.0,EMG/kin
z_vl_prox_load_p_low,17,100.0,EMG/kin
z_vl_prox_load_p_mid,17,100.0,EMG/kin
z_vl_prox_load_p_high,17,100.0,EMG/kin
trainred_smo2_mean,17,100.0,NIRS
z_rest_trend_cv_ratio_30s,17,100.0,EMG/kin
z_load_trend_cv_ratio_30s,17,100.0,EMG/kin
z_load_duration_cv,17,100.0,EMG/kin
z_load_rest_ratio,17,100.0,EMG/kin
z_vl_prox_load_ratio_low_high,17,100.0,EMG/kin
z_vl_dist_load_mav,17,100.0,EMG/kin
z_vl_prox_rest_mav,17,100.0,EMG/kin
z_rest_duration_ms,17,100.0,EMG/kin
z_vl_prox_rest_zcr,17,100.0,EMG/kin
z_vl_prox_rest_mdf,17,100.0,EMG/kin
z_cadence_cv,17,100.0,EMG/kin
z_vl_prox_rest_p_mid,17,100.0,EMG/kin
z_vl_prox_rest_p_high,17,100.0,EMG/kin
z_vl_prox_rest_ratio_mid_high,17,100.0,EMG/kin
z_vl_prox_load_rms_cv,17,100.0,EMG/kin
trainred_dsmo2_dt,17,100.0,NIRS
trainred_smo2_std,17,100.0,NIRS
trainred_hhb_slope,17,100.0,NIRS
z_vl_dist_rest_rms,17,100.0,EMG/kin
z_vl_dist_load_wl,17,100.0,EMG/kin
z_vl_dist_load_zcr,17,100.0,EMG/kin
z_vl_dist_load_mdf,17,100.0,EMG/kin
z_vl_dist_load_mnf,17,100.0,EMG/kin
z_vl_dist_load_p_low,17,100.0,EMG/kin
z_vl_dist_load_p_mid,17,100.0,EMG/kin
z_vl_dist_load_ratio_mid_high,17,100.0,EMG/kin
z_vl_dist_load_e_d2,17,100.0,EMG/kin
z_vl_dist_load_e_d3,17,100.0,EMG/kin
trainred_thb_std,17,100.0,NIRS
z_vl_dist_load_e_d5,17,100.0,EMG/kin
z_vl_dist_load_wavelet_entropy,17,100.0,EMG/kin
z_vl_dist_load_ratio_low_high,17,100.0,EMG/kin
trainred_thb_mean,17,100.0,NIRS
trainred_hbdiff_std,17,100.0,NIRS
z_vl_dist_rest_zcr,17,100.0,EMG/kin
z_vl_dist_rest_mdf,17,100.0,EMG/kin
trainred_hbdiff_mean,17,100.0,NIRS
trainred_dhhb_dt,17,100.0,NIRS
z_vl_dist_rest_p_mid,17,100.0,EMG/kin
z_vl_dist_rest_p_high,17,100.0,EMG/kin
trainred_hhb_std,17,100.0,NIRS
z_vl_dist_rest_e_d2,17,100.0,EMG/kin
z_vl_prox_rest_wavelet_entropy,16,94.1,EMG/kin
z_rest_sampen_30s,16,94.1,EMG/kin
trainred_smo2_drop,16,94.1,NIRS
hhb_from_running_min,16,94.1,NIRS
z_load_duration_ms,16,94.1,EMG/kin
z_vl_dist_load_rms_cv,16,94.1,EMG/kin
z_vl_prox_rest_rms,16,94.1,EMG/kin
smo2_rel_drop_pct,16,94.1,NIRS
z_vl_prox_rest_mnf,16,94.1,EMG/kin
z_vl_dist_rest_ratio_low_high,16,94.1,EMG/kin
z_vl_prox_rest_e_d4,16,94.1,EMG/kin
z_vl_prox_load_e_d2,16,94.1,EMG/kin
z_vl_dist_rest_e_d3,16,94.1,EMG/kin
z_vl_prox_load_e_d4,16,94.1,EMG/kin
z_vl_dist_rest_ratio_mid_high,16,94.1,EMG/kin
z_vl_prox_rest_wl,16,94.1,EMG/kin
z_vl_dist_rest_wl,16,94.1,EMG/kin
z_vl_dist_rest_mav,16,94.1,EMG/kin
z_vl_dist_load_e_d4,16,94.1,EMG/kin
z_vl_dist_load_p_high,16,94.1,EMG/kin
z_vl_prox_rest_e_d3,16,94.1,EMG/kin
z_vl_dist_rest_e_d4,16,94.1,EMG/kin
z_vl_dist_rest_p_low,15,88.2,EMG/kin
trainred_thb_slope,15,88.2,NIRS
z_vl_prox_rest_ratio_low_high,15,88.2,EMG/kin
z_vl_dist_rest_e_d5,14,82.4,EMG/kin
smo2_from_running_max,14,82.4,NIRS
z_load_sampen_30s,14,82.4,EMG/kin
z_vl_prox_load_mnf,13,76.5,EMG/kin
z_vl_prox_load_ratio_mid_high,12,70.6,EMG/kin
z_vl_prox_rest_p_low,12,70.6,EMG/kin
z_vl_prox_rest_rms_cv,12,70.6,EMG/kin
z_vl_dist_rest_rms_cv,11,64.7,EMG/kin
z_vl_prox_load_e_d5,9,52.9,EMG/kin
z_cadence_mean_rpm,9,52.9,EMG/kin
z_vl_prox_rest_e_d2,9,52.9,EMG/kin
trainred_hbdiff_slope,8,47.1,NIRS
z_rest_duration_cv,7,41.2,EMG/kin
z_vl_dist_rest_mnf,7,41.2,EMG/kin
z_vl_prox_load_wavelet_entropy,7,41.2,EMG/kin
z_vl_dist_rest_wavelet_entropy,6,35.3,EMG/kin
z_vl_prox_load_e_d3,5,29.4,EMG/kin
z_vl_prox_rest_e_d5,5,29.4,EMG/kin
